NAME,CITY,STATE,YEAR,TOT_UNITS,MED_VALUE,MED_RENT,OCCUP_OCCUP,VACANT,OCCUP_TENURE,OCCUP_OWNR,OCCUP_RENTR,BUILT_2020,BUILT_2010,BUILT_2000,BUILT_1990,BUILT_1980,BUILT_1970,BUILT_1960,BUILT_1950,BUILT_1940,BUILT_1939
"San Bernardino city, California",San Bernardino city, California,2010,67349,147200.0,874.0,59604,7745,30377,29227,3.33,1867.0,2181.0,6506.0,12421.0,9971.0,8512.0,12901.0,8535.0,4455.0,67349.0
"San Buenaventura (Ventura) city, California",San Buenaventura (Ventura) city, California,2010,43995,450600.0,1276.0,40665,3330,22894,17771,2.5,1053.0,2816.0,2671.0,5353.0,9425.0,9533.0,8596.0,1652.0,2896.0,43995.0
"San Diego city, California",San Diego city, California,2010,514366,439600.0,1260.0,469635,44731,224874,244761,2.76,19158.0,37092.0,53999.0,90527.0,116116.0,68797.0,67281.0,26539.0,34857.0,514366.0
"San Francisco city, California",San Francisco city, California,2010,376777,768000.0,1385.0,336012,40765,123128,212884,2.76,10901.0,13079.0,18805.0,18620.0,26355.0,29098.0,37682.0,39751.0,182486.0,376777.0
"San Jose city, California",San Jose city, California,2010,312541,558600.0,1371.0,297637,14904,173280,124357,3.2,11752.0,21143.0,35301.0,43160.0,73313.0,62504.0,35412.0,10903.0,19053.0,312541.0
"San Leandro city, California",San Leandro city, California,2010,31223,373200.0,1175.0,29940,1283,17651,12289,3.09,0.0,1417.0,748.0,2096.0,4301.0,4250.0,8784.0,6637.0,2990.0,31223.0
"San Marcos city, California",San Marcos city, California,2010,27818,379200.0,1297.0,26457,1361,15212,11245,3.2,2140.0,4072.0,5885.0,6861.0,6840.0,1230.0,473.0,107.0,210.0,27818.0
"San Mateo city, California",San Mateo city, California,2010,41793,717900.0,1521.0,39516,2277,20921,18595,2.53,1059.0,1434.0,2913.0,3976.0,6578.0,5551.0,9837.0,5842.0,4603.0,41793.0
"San Ramon city, California",San Ramon city, California,2010,26784,709200.0,1407.0,25864,920,17575,8289,3.03,4124.0,5432.0,4753.0,5622.0,3924.0,2552.0,158.0,52.0,167.0,26784.0
"Santa Ana city, California",Santa Ana city, California,2010,74972,321400.0,1248.0,71288,3684,33884,37404,4.53,709.0,2460.0,2974.0,8711.0,18396.0,15790.0,16860.0,3642.0,5430.0,74972.0
"Santa Barbara city, California",Santa Barbara city, California,2010,37132,876900.0,1363.0,33220,3912,14389,18831,2.55,920.0,1146.0,1282.0,3036.0,6317.0,6758.0,7569.0,2631.0,7473.0,37132.0
